in s,C1 in V
-2.970082E-03,2.43164E-01
-2.970036E-03,2.43164E-01
-2.969990E-03,-9.86328E-02
-2.969944E-03,4.78516E-02
-2.969898E-03,9.66797E-02
-2.969852E-03,9.66797E-02
-2.969806E-03,4.78516E-02
-2.969760E-03,9.66797E-02
-2.969714E-03,9.66797E-02
-2.969668E-03,9.66797E-02
-2.969622E-03,4.78516E-02
-2.969576E-03,-9.76562E-04
-2.969530E-03,-9.76562E-04
-2.969484E-03,-4.98047E-02
-2.969438E-03,4.78516E-02
-2.969392E-03,-9.86328E-02
-2.969346E-03,9.66797E-02
-2.969300E-03,9.66797E-02
-2.969254E-03,-9.76562E-04
-2.969208E-03,9.66797E-02
-2.969162E-03,9.66797E-02
-2.969116E-03,9.66797E-02
-2.969070E-03,4.78516E-02
-2.969024E-03,9.66797E-02
-2.968978E-03,-1.47461E-01
-2.968932E-03,-9.86328E-02
-2.968886E-03,-9.76562E-04
-2.968840E-03,4.78516E-02
-2.968794E-03,-9.76562E-04
-2.968748E-03,-9.76562E-04
-2.968702E-03,9.66797E-02
-2.968656E-03,4.78516E-02
-2.968610E-03,-4.98047E-02
-2.968564E-03,4.78516E-02
-2.968518E-03,4.78516E-02
-2.968472E-03,4.78516E-02
-2.968426E-03,4.78516E-02
-2.968380E-03,9.66797E-02
-2.968334E-03,9.66797E-02
-2.968288E-03,-4.98047E-02
-2.968242E-03,4.78516E-02
-2.968196E-03,9.66797E-02
-2.968150E-03,1.45508E-01
-2.968104E-03,9.66797E-02
-2.968058E-03,9.66797E-02
-2.968012E-03,9.66797E-02
-2.967966E-03,1.45508E-01
-2.967920E-03,-9.86328E-02
-2.967874E-03,4.78516E-02
-2.967828E-03,1.45508E-01
-2.967782E-03,4.78516E-02
-2.967736E-03,4.78516E-02
-2.967690E-03,9.66797E-02
-2.967644E-03,9.66797E-02
-2.967598E-03,9.66797E-02
-2.967552E-03,-9.76562E-04
-2.967506E-03,-4.98047E-02
-2.967460E-03,4.78516E-02
-2.967414E-03,1.94336E-01
-2.967368E-03,4.78516E-02
-2.967322E-03,-4.98047E-02
-2.967276E-03,-4.98047E-02
-2.967230E-03,-4.98047E-02
-2.967184E-03,9.66797E-02
-2.967138E-03,2.43164E-01
-2.967092E-03,-9.76562E-04
-2.967046E-03,-4.98047E-02
-2.967000E-03,-9.76562E-04
-2.966954E-03,4.78516E-02
-2.966908E-03,9.66797E-02
-2.966862E-03,4.78516E-02
-2.966816E-03,9.66797E-02
-2.966770E-03,9.66797E-02
-2.966724E-03,-9.76562E-04
-2.966678E-03,4.78516E-02
-2.966632E-03,-4.98047E-02
-2.966586E-03,-4.98047E-02
-2.966540E-03,4.78516E-02
-2.966494E-03,-4.98047E-02
-2.966448E-03,-9.76562E-04
-2.966402E-03,9.66797E-02
-2.966356E-03,2.43164E-01
-2.966310E-03,9.66797E-02
-2.966264E-03,-9.76562E-04
-2.966218E-03,-4.98047E-02
-2.966172E-03,9.66797E-02
-2.966126E-03,9.66797E-02
-2.966080E-03,1.45508E-01
-2.966034E-03,-4.98047E-02
-2.965988E-03,-9.76562E-04
-2.965942E-03,1.45508E-01
-2.965896E-03,-4.98047E-02
-2.965850E-03,9.66797E-02
-2.965804E-03,4.78516E-02
-2.965758E-03,-4.98047E-02
-2.965712E-03,-9.76562E-04
-2.965666E-03,1.45508E-01
-2.965620E-03,-4.98047E-02
-2.965574E-03,4.78516E-02
-2.965528E-03,-4.98047E-02
-2.965482E-03,4.78516E-02
-2.965436E-03,-9.86328E-02
-2.965390E-03,9.66797E-02
-2.965344E-03,-4.98047E-02
-2.965298E-03,-9.76562E-04
-2.965252E-03,-4.98047E-02
-2.965206E-03,1.45508E-01
-2.965160E-03,-9.76562E-04
-2.965114E-03,4.78516E-02
-2.965068E-03,4.78516E-02
-2.965022E-03,4.78516E-02
-2.964976E-03,4.78516E-02
-2.964930E-03,1.94336E-01
-2.964884E-03,2.43164E-01
-2.964838E-03,4.78516E-02
-2.964792E-03,-9.76562E-04
-2.964746E-03,-9.76562E-04
-2.964700E-03,-9.76562E-04
-2.964654E-03,1.94336E-01
-2.964608E-03,-9.86328E-02
-2.964562E-03,-4.98047E-02
-2.964516E-03,-9.76562E-04
-2.964470E-03,1.45508E-01
-2.964424E-03,9.66797E-02
-2.964378E-03,-9.76562E-04
-2.964332E-03,4.78516E-02
-2.964286E-03,9.66797E-02
-2.964240E-03,-9.76562E-04
-2.964194E-03,9.66797E-02
-2.964148E-03,-9.76562E-04
-2.964102E-03,-4.98047E-02
-2.964056E-03,4.78516E-02
-2.964010E-03,9.66797E-02
-2.963964E-03,-4.98047E-02
-2.963918E-03,-9.76562E-04
-2.963872E-03,-4.98047E-02
-2.963826E-03,9.66797E-02
-2.963780E-03,9.66797E-02
-2.963734E-03,9.66797E-02
-2.963688E-03,4.78516E-02
-2.963642E-03,-4.98047E-02
-2.963596E-03,4.78516E-02
-2.963550E-03,9.66797E-02
-2.963504E-03,4.78516E-02
-2.963458E-03,4.78516E-02
-2.963412E-03,4.78516E-02
-2.963366E-03,-9.86328E-02
-2.963320E-03,4.78516E-02
-2.963274E-03,1.45508E-01
-2.963228E-03,9.66797E-02
-2.963182E-03,4.78516E-02
-2.963136E-03,4.78516E-02
-2.963090E-03,9.66797E-02
-2.963044E-03,9.66797E-02
-2.962998E-03,9.66797E-02
-2.962952E-03,-9.76562E-04
